Species	Sex	N	Age	Weight	Variance	Reference
ACP 9935/Cr	female	20	1	0.0051	2.25e-8	Poiley, 1972
ACP 9935/Cr	female	21	7	0.0103	8.56e-7	Poiley, 1972
ACP 9935/Cr	female	23	14	0.0199	3.61e-6	Poiley, 1972
ACP 9935/Cr	female	31	21	0.033	3.9e-6	Poiley, 1972
ACP 9935/Cr	female	31	28	0.0446	1.62e-5	Poiley, 1972
ACP 9935/Cr	female	24	42	0.0877	1.4e-4	Poiley, 1972
ACP 9935/Cr	female	25	56	0.1249	2.22e-4	Poiley, 1972
ACP 9935/Cr	female	21	70	0.1378	1.24e-4	Poiley, 1972
ACP 9935/Cr	female	27	84	0.1638	1.37e-4	Poiley, 1972
ACP 9935/Cr	female	21	112	0.1812	1.76e-4	Poiley, 1972
ACP 9935/Cr	female	24	140	0.2133	2.69e-4	Poiley, 1972
ACP 9935/Cr	female	21	168	0.2531	2.12e-4	Poiley, 1972
ACP 9935/Cr	male	20	1	0.0052	1.56e-8	Poiley, 1972
ACP 9935/Cr	male	24	7	0.0119	1.1e-6	Poiley, 1972
ACP 9935/Cr	male	26	14	0.0212	4.62e-6	Poiley, 1972
ACP 9935/Cr	male	20	21	0.0341	3.61e-6	Poiley, 1972
ACP 9935/Cr	male	32	28	0.0464	2.92e-5	Poiley, 1972
ACP 9935/Cr	male	24	42	0.091	7.92e-5	Poiley, 1972
ACP 9935/Cr	male	25	56	0.1279	1.81e-4	Poiley, 1972
ACP 9935/Cr	male	23	70	0.188	3.11e-4	Poiley, 1972
ACP 9935/Cr	male	21	84	0.2307	4e-4	Poiley, 1972
ACP 9935/Cr	male	26	112	0.2587	1.4e-4	Poiley, 1972
ACP 9935/Cr	male	27	140	0.2881	1.7e-4	Poiley, 1972
ACP 9935/Cr	male	25	168	0.3097	2.34e-4	Poiley, 1972
ACP 9935/Cr	female	28	1	0.0053	2.5e-9	Poiley, 1972
ACP 9935/Cr	female	28	7	0.0093	3.03e-7	Poiley, 1972
ACP 9935/Cr	female	28	14	0.0218	8.1e-7	Poiley, 1972
ACP 9935/Cr	female	28	21	0.0342	1.63e-6	Poiley, 1972
ACP 9935/Cr	female	28	28	0.0483	2.26e-7	Poiley, 1972
ACP 9935/Cr	female	28	42	0.0918	1.85e-5	Poiley, 1972
ACP 9935/Cr	female	28	56	0.1273	1.11e-4	Poiley, 1972
ACP 9935/Cr	female	28	70	0.1439	7.92e-5	Poiley, 1972
ACP 9935/Cr	female	28	84	0.1653	7.98e-6	Poiley, 1972
ACP 9935/Cr	female	27	112	0.1911	5.44e-5	Poiley, 1972
ACP 9935/Cr	female	27	140	0.209	5.85e-5	Poiley, 1972
ACP 9935/Cr	female	27	168	0.2483	9.03e-5	Poiley, 1972
ACP 9935/Cr	male	32	1	0.0054	6.25e-10	Poiley, 1972
ACP 9935/Cr	male	32	7	0.0107	5.26e-7	Poiley, 1972
ACP 9935/Cr	male	32	14	0.0235	1.41e-7	Poiley, 1972
ACP 9935/Cr	male	32	21	0.0357	1.1e-6	Poiley, 1972
ACP 9935/Cr	male	32	28	0.0493	6.01e-7	Poiley, 1972
ACP 9935/Cr	male	32	42	0.0951	5.04e-5	Poiley, 1972
AC1 9935/Cr	male	32	56	0.1307	1.13e-4	Poiley, 1972
AC1 9935/Cr	male	31	70	0.1959	4.61e-4	Poiley, 1972
AC1 9935/Cr	male	31	84	0.2338	4.68e-4	Poiley, 1972
AC1 9935/Cr	male	29	112	0.2671	3.75e-5	Poiley, 1972
AC1 9935/Cr	male	29	140	0.2892	2.3e-5	Poiley, 1972
AC1 9935/Cr	male	29	168	0.3088	8.06e-5	Poiley, 1972
ALBANY/Cr	female	35	1	0.0071	1.6e-7	Poiley, 1972
ALBANY/Cr	female	35	7	0.018	2.26e-7	Poiley, 1972
ALBANY/Cr	female	35	14	0.0303	1.96e-6	Poiley, 1972
ALBANY/Cr	female	35	21	0.0535	2.53e-5	Poiley, 1972
ALBANY/Cr	female	25	28	0.0798	4.36e-5	Poiley, 1972
ALBANY/Cr	female	31	42	0.1214	7.29e-6	Poiley, 1972
ALBANY/Cr	female	45	56	0.1726	2.06e-4	Poiley, 1972
